Реестр инновационных проектов,,,,,,,
Номер,Название проекта,Описание проекта,Информация о заявителе инновационного предложения,,,Функциональный заказчик,Текущий статус
447,"Коммуникационная платформа Ростелл, предназначенная для создания продуктов в единой ИТ системе заказчика","Платформа Ростелл предназначена для создания продуктов в единой распределенной инфраструктуре заказчика, для создания сервисных решений, направленных на определение бизнес-кейсов, включая интеграцию с другими решениями в рамках единой поставки, для встраивания в качестве коммуникационной платформы в сторонние решения наших партнеров(включая аппаратные решения)",ООО N960556,Васильев К.Э.,8(680)-503-94-26,СИВЦ     ,2.Работа с проектом приостановлена
448,EdgeVision. Платформа интеллектуальной видеоаналитики,"Использование платформы интеллектуальной видеоаналитики для оценки интенсивности
движения транспорта на
федеральных трассах РФ. Инцидентный анализ на
федеральных трассах РФ, выделение типа транспорта в потоке, контроль периметра, определение
загруженности дороги, обнаружение события ДТП",ООО N666372,Соколов Р.Э.,8(262)-795-17-87,ДРП     ,2.Работа с проектом приостановлена
449,Автоматизированная система управления освещением,"Система состоит из блоков управления светильниками, координатора и модема для выхода в интернет (устанавливается вблизи группы светильников) и диспетчерского сайта для управления и контроля группами светильников. Система позволяет в автоматическом режиме включать освещение по графику поездов, обеспечить работу светильников по расписанию, автоматическая регулировка освещенности.",ООО N54810,Пилюков Х.Л.,8(571)-864-39-27,ДПО     ,2.Работа с проектом приостановлена
450,Контроль знаний с помощью искусственного интеллекта,"Система создает особые задания DeepExam. Их невозможно
выполнить просто заучив материал
без понимания его сути
Задания DeepExam требуют
способности к логическому
мышлению и применению знаний
Задания создаются автоматически
и не повторяются, поэтому
невозможно списать
Правильное решение невозможно
найти в Интернете",ООО N43325,Пилюков Б.Р.,8(646)-531-54-45,н/о     ,2.Работа с проектом приостановлена
451,Воздушная лаборатория на базе БПЛА вертикального взлета и посадки,"Платформа предназначена для доставки грузов и аэросъемки / инспекции. Содержит в себе технологию автопилотирования с использованием искусственного интеллекта, технологию обхода препятствий, технологию автоматического выбора места посадки, облегченнй фюзеляж и крылья БПЛА с использование композитных материалов.

",ООО N460196,Козлов В.П.,8(909)-414-80-64,РЦДМ     ,2.Работа с проектом приостановлена
452,Цифровая логистическая платформа CargoRun,"С помощью платформы можно повысить эффективность операционной логистической деятельности. Автоматически контролировать заявки,
автоматизировать рутинные
операции, сократить порожний пробег простоев, штрафов, упущенной прибыли, сократить
разницу между плановыми и фактическими показателями",ООО N669793,Лебедев Д.В.,8(501)-291-74-22,КТЦФТО     ,2.Работа с проектом приостановлена
453,Создание мобильного приложения для составления рациона правильного питания и доставки продуктов для пассажиров,"Проект позволяет агрегировать предложения всех поставщиков
правильного питания в мобильное приложение; Автоматизировать процесс выбора компании и
оформления заказа по индивидуальным параметрам в 3 клика; Популяризировать здоровый образ жизни",ООО N853698,Михайлов Ш.С.,8(706)-683-85-21,КБШ ФПК     ,2.Работа с проектом приостановлена
454,Интеллектуальная система управления транспортом с целью предотвращения столкновений,"Прямые потери от пробок в США  оцениваются в 80 млрд. долл. в год. Предлагается решать проблему автомобильных «пробок» с помощью системы, осуществляющей интеллектуальное управление автотранспортом с целью предотвращения пробок на дорогах. Система позволяет управлять транспортом в пределах мегаполисов и  других населённых пунктов. 


",ООО N507866,Пилюков Н.Р.,8(709)-336-68-48,н/о     ,2.Работа с проектом приостановлена
455,Проект по систематизации и организации перевозочной деятельности,"CargoTech - логистический сервис, который с помощью искусcтвенного организует перевозку грузов. CargoTech использует свободное грузовое пространство в грузовиках и находит оптимальные маршруты для груза проверенными перевозчиками.",ООО N463905,Лебедев А.В.,8(415)-629-14-38,КТЦФТО     ,2.Работа с проектом приостановлена
456,Сервис по определению проблем человека с его физическим состояния и предложениями по методам решения.,"HealthChecker решает проблему человека с узнаванием его состояния и предлагает методы решения с помощью уникального устройства в медицине. Система анализирует состояние человека и выдает советы по поддержанию здоровья. 
",ООО N686192,Николаев Э.В.,8(514)-532-50-69,КДЗ     ,2.Работа с проектом приостановлена
457,Разработка общего искусственного интеллекта,интеллектуальное ядро - это сложный программный комплекс включающий различные методы хранения и обработки знаний.  Представляет собой гибридную модель состоящую из множества слоев знаний на разном уровне представления и абстракции. Разработка искусственного интеллекта способного к самообучению.,ООО N545252,Попов Л.М.,8(795)-466-69-88,РЦДМ     ,2.Работа с проектом приостановлена
458,Онлайн-система для управления корпоративным обучением и контроля развития сотрудников,"Система, позволяющая проводить онлайн курсы для сотрудников и производить мониторинг процесса обучения. Содержит в себе 3 типа уроков: видео, тест, вебинар. Отслеживает процесс обучения, проводит проверочные тесты, обеспечивает персональный подход к прохождению обучения.",ООО N686647,Козлов Д.Э.,8(952)-996-72-13,н/о     ,2.Работа с проектом приостановлена
459,Регенерация моторных масел дизельных тепловозов,"С помощью данной технологии возможно производить регенерацию моторных масел дизельных тепловозов. Технология содержит четыре основных этапа: Коагуляция Сепарация, Ультрафильтрация, компаундирование. ",ООО N156578,Никулин К.М.,8(540)-742-14-73,ДПМ     ,2.Работа с проектом приостановлена
460,Продукт направлен на решение проблемы контроля за соблюдением работниками производственных регламентов и требований техники безопасности. ,"Камера позволяет произвести контрль соблюдения техники безопасности производственного персонала,идентифицировать транспорт, контролирловать технологические процессы, идентифицировать людей по базам сотрудников с помощью машинного зрения.",ООО N402464,Волков Б.С.,8(757)-691-32-81,ДКРЭ     ,2.Работа с проектом приостановлена
461,Разработка прибора для диагностики двигателей,Экспресс диагностика двигателей по анализу моторного масла,ООО N496602,Егоров Б.О.,8(629)-612-45-48,ДМВ     ,2.Работа с проектом приостановлена
462,Беспилотный мобильный комплекс «Аэрофотоскан»,Контроль состояния ЖД путей и проведением работ на путях с помощью БПЛА,ООО N775950,Васильев Д.В.,8(260)-582-47-73,ДИ     ,2.Работа с проектом приостановлена
463,Моторные технологии,Оборудование для очистки деталей в целях обеспечения производственных и обслуживающих предприятий обслуживания локомотивов,ООО N421674,Попов Н.О.,8(757)-837-51-16,ДМВ     ,2.Работа с проектом приостановлена
464,Высокоэффективный окислитель для очистки сточных вод,"Техническое решение, позволяющее производить очистку и контролировать показатели сточных вод с помощью феррата натрия
",ООО N37172,Соколов Ш.С.,8(303)-484-45-29,н/о     ,2.Работа с проектом приостановлена
465,Полиуретановые покрытия в качестве смазочных материалов для трущихся металлических поверхностей,"Разработка модификаторов трения, наносимых на боковую поверхность катания рельса, в зону контакта «колесо-рельс», для применения в технологии лубрикации
",ООО N338620,Михайлов М.Б.,8(659)-417-54-21,ДИ     ,2.Работа с проектом приостановлена
466,Теплоизоляционная сухая строительная смесь для отделки газобетона,Сухая строительная смесь - теплоизоляционный штукатурный состав для отделки газобетонных блоков,ООО N598377,Нечаев О.М.,8(137)-360-76-18,ДЭЗ     ,2.Работа с проектом приостановлена
467,Продукт на основе дрожжей для очистки нефти и нефтепродуктов,"Очистка нефти и нефтепродуктов от механических включений различной природы, металлопорфиринов, серосодержащих соединений с применением дрожжей
",ООО N173330,Михайлов Т.Д.,8(176)-270-54-30,ХТЛ     ,2.Работа с проектом приостановлена
468,Разработка химически модифицированного адсорбционного материала на основе диатомита для очистки воды,Модифицированный диатомит предлагается использовать в водоподготовке в качестве адсорбента для индивидуального использования.,ООО N755037,Соколов С.Л.,8(677)-171-92-39,ДТВ     ,2.Работа с проектом приостановлена
469,"Обеспечение снижения отказов контактной сети, вызванных обрывами струн вследствие механического и электрического износа","Применение на контактной сети полимерных струновых зажимов для исключения прохождения тягового тока по поддерживающим звеньевым струнам и, как следствие, исключение электрокоррозии и механического износа струны, который и приводит к обрыву струн и соответственно угрожает движению поездов.
",ООО N783418,Васильев Д.К.,8(452)-494-79-84,НТЭ     ,2.Работа с проектом приостановлена
470,Мобильное приложение по организации производимых работ (из списка) и отслеживания местоположения персонала на линии,"Создание программного обеспечения для смартфонов (ПК) с поддержкой Android, iOS, Internet Explorer в системе Microsoft, Глонасс, GPS и GSM для отслеживания местоположения персонала на линии и производства учета человеко – часов с возможностью просмотра технологии производства на оборудовании. 
",ООО N525238,Волков П.К.,8(688)-838-61-21,ДИ     ,2.Работа с проектом приостановлена
471,Высокоточная система автопилотирования техники и предупреждения столкновений ,"Система автопилотирования техники и предупреждения столкновений на всей территории предприятия, при любых погодных условиях",ООО N207892,Попов Б.Д.,8(932)-256-84-71,Д     ,2.Работа с проектом приостановлена
472,Международная платформа по поиску инвестиций,Поиск инвесторов и предпринимателей для инвестиционной деятельности с помощью облачной бизнес платформы,ООО N137778,Попов Ф.К.,8(147)-606-99-11,РИП     ,2.Работа с проектом приостановлена
473,DocTrixPlatform: автоматизация бизнес-процессов на SharePoint 2013\2016,"Предоставление доступа к инструменту быстрого создания приложений и автоматизации процессов на платформе
SharePoint без привлечения разработчиков. Замена ЕАСД и других программ обеспечивающих электронный документооборот",ООО N255183,Попов Т.Ф.,8(512)-758-57-99,н/о     ,2.Работа с проектом приостановлена
474,Электронная цифровая подпись,"Аналог имеющимся видам ЭЦП, только без применения USB ключа",ООО N690416,Степанов Б.С.,8(131)-184-47-94,н/о     ,2.Работа с проектом приостановлена
475,РИТАЛ. Инновационная система радиодоступа,"Поставляемое оборудование семейства «РИТАЛ» предназначено для трансляции по радиоканалу в диапазоне307/343 МГц телефонных абонентских линий(FXO/FXS), соединительных линий(каналов ТЧ),а такжедля организации систем беспроводной передачи данных(Ethernet)и телеметрии(RS-232/RS485). Типовая дальность связи для моделей диапазона300 МГц:60–70 км.
Оборудование работает в частотном диапазоне 433МГц с использованием цифровой технологии TDD (дуплекс на одной частоте) и позволяет строить на базе стандартных блоков с интерфейсами FXO и FXS системы различной конфигурации от радиоудлинителей FXO/FXS до распределенных многопользовательских радио-АТС.",ООО N189527,Никулин Ю.К.,8(985)-148-19-33,НС     ,2.Работа с проектом приостановлена
476,Техническое решение позволяющее накапливать энергию при торможении локомотива с возможностью выдачи энергии обратно в сеть поезда в момент разгона локомотива,"Данное решение позволит накопить
энергию от торможения поездов с
целью точечного выброса в сеть при
разгоне поезда.
Мощность одного инвертора 5 кВт
",ООО N632580,Степанов М.В.,8(674)-375-42-98,НТЭ     ,2.Работа с проектом приостановлена
477,Облачная IoT-платформа мониторинга и контроля GTS4B,"Геопозиционный трекер в автомобильную технику для контроля состояния техники (уровень топлива, километраж, время использования автомобиля, простои)",ООО N611459,Попов Л.Б.,8(315)-751-30-77,ДИ     ,2.Работа с проектом приостановлена
478,Разработка внутренней структуры новых материалов на основе фракталов,"Внедрение фрактальной структуры в материал позволит
уменьшить его расход в несколько десятков раз без снижения
прочности. производство готовых фрактальных материалов (ПВХ
панелей или алюминиевых профилей)",ООО N621464,Степанов С.Ю.,8(878)-347-41-47,н/о     ,2.Работа с проектом приостановлена
479,Создание многофункционального полимерного покрытия,"Разработка доступного электропроводящего антикоррозийного покрытия на основе полимеров. То позволяет расширить диапазон рабочей температоры, увеличит антикорозийность покрытия",ООО N838039,Смирнов Р.А.,8(983)-694-47-96,н/о     ,2.Работа с проектом приостановлена
480,Электронный замок на основе искуственногоинтелекта,"Интеллектуальный Замок (ИЗ) помогает решить проблему неточной идентификации клиентов, технологией распознавания лиц без установки дополнительных датчиков, благодаря ИИ (Искусственному Интеллекту)",ООО N966913,Федоров Г.И.,8(813)-153-77-77,н/о     ,2.Работа с проектом приостановлена
481,Разработка взрыво- и влагозащищенного робота телеприсутствия для мониторинга производственных объектов в неблагоприятных условиях,"Разработка робота а также целого ряда конструкторских решений позволяющих при необходимости защитить рабочие элементы
робота от взрыва повышенных температур и агрессивных сред Новые решения
представлены в системе поддержании температуры изоляции электропроводке и т д",ООО N728379,Новиков Э.Ф.,8(841)-690-11-88,н/о     ,2.Работа с проектом приостановлена
482,Разработка системы контроля и локализации загрязнений на основе фазометрического метода,"Мобильная система контроля и локализации мест загрязнений почвы, эффектвность системы в несколько раз превышает имеющиеся технологии",ООО N254058,Неманов Ф.С.,8(600)-274-38-26,В     ,2.Работа с проектом приостановлена
483,Синтетические смазочные материалы для применения в условиях низких температур,"Разработка синтетических основ для отечественных морозостойких
смазочных материалов   специального назначения (эфиров дикарбоновых кислот)",ООО N100277,Морозов С.К.,8(811)-765-83-88,РЦДМ     ,2.Работа с проектом приостановлена
484,Разработка технологии пространственной локализации местоположения и типа дефектов промышленного оборудования на основе данных тензометрических откликов в заданных точках контроля,"Инновационный комплекс ространственной локализации деффект, состоящий из комплекта датчиков, электронного блока и ПК",ООО N599835,Соколов К.В.,8(119)-806-82-44,П     ,2.Работа с проектом приостановлена
485,Интеллектуальные следящие самосинтезирующиеся системы,"Разработка является фундаментальной и подходит для всех процессов с обратной связью
Определение путей развития для интеллектуальных «рефлекторных» систем
Обеспечение стабильности разрабатываемых систем управления",ООО N775095,Фомин К.Г.,8(993)-687-69-48,н/о     ,2.Работа с проектом приостановлена
486,Разработка устройства пуска высоковольтных двигателей,"Проведение пуска двигателя локомотива в два этапа: частотный пуска далее пуск по линии байпаса. Что позволит получить следующие преимущества: Ограничение токов 
Регулирование режимов 
Устойчивость тех. процесса при потере питания
Возможен для бесщеточных двигателей
",ООО N496288,Васильев С.Г.,8(643)-420-22-95,ДТВ     ,2.Работа с проектом приостановлена
487,Система предотвращения столкновения транспортных средств движущихся в одном направлении ,"Интеллектуальная система, обеспечивающая мониторинг движения транспортных средств в потоке с борта автомобиля и контроль соблюдения дистанции",ООО N178218,Кузнецов М.Ю.,8(111)-253-25-65,Д     ,2.Работа с проектом приостановлена
488,Искусственный интеллект для общества,"Создание простого в использовании и освоении приложения для людей с
нарушениями слуха, которое поможет социализироваться в обществе и позволит людям с НС устроиться на работу, требующую коммуницировать с окружающими",ООО N337916,Соколов Э.Л.,8(871)-605-45-67,КДЗ     ,2.Работа с проектом приостановлена
489,Система планирования и учета деятельности организации,"Создание платформы где руководящее звено будет
ставить задачи и следить за ходом их выполнения, что
увеличит продуктивность сотрудников на 30%.",ООО N44470,Козлов Ф.Б.,8(463)-851-58-36,н/о     ,2.Работа с проектом приостановлена
490,"Автоматизация бизнес процессов организации за счет внедрения чат-ботов, создания мобильных приложений.","Чат боты для упрощения бизнес процессов, сайтов, программ",ООО N692539,Никулин М.С.,8(743)-977-67-57,СИВЦ     ,2.Работа с проектом приостановлена
491,"Разработка устройства, обеспечивающего освещение экологичной зоны ожидания на Ж/Д вокзалах, интегрирующего источника альтернативной энергетики","Разработка устройства
обеспечивающнго освещение
экологичной зоны залов ожидания на ж/д вокзалах с
помощью интегрированного
источника питания с использованием
альтернативной энергетики",ООО N130187,Евсеев Д.Л.,8(668)-133-50-68,ДПО     ,2.Работа с проектом приостановлена
492,Система упрощенной оплаты проезда (СУОП),"Инновационная система оплаты проезда, располагаемая в нескольких точках вагона",ООО N817365,Павлов Ф.Р.,8(646)-983-32-66,КБШ ФПК     ,2.Работа с проектом приостановлена
493,Разработка программно-аппаратного комплекса для оптимального использования коммерческих парковок объектов торговой и автотранспортной инфраструктуры,"Создание продукта, позволяющего осуществить интеграцию пользователей и собственников парковочных систем при крупных торговых центрах. Данный продукт позволит увеличить поток целевых посетителей парковки, объединить парковочные системы с системами ГИС и платежными системами, а также осуществить консолидацию с программами лояльности",ООО N938786,Нечаев Р.Ю.,8(478)-667-47-70,РДЖВ     ,2.Работа с проектом приостановлена
494,Беспроводная сеть LPWAN для передачи технологических данных во взрывоопасных зонах,Описание проекта отсутствует. Не понятен смысл предложения,ООО N630051,Евсеев Т.Н.,8(697)-754-65-90,НС     ,2.Работа с проектом приостановлена
495,Складные каркасно-тентовые укрытия,"Запатентованная конструкция палатки, которая раворачивается от 3 од 5 минут и позволяет разместиться до 80 человек ",ООО N964974,Егоров М.Ш.,8(505)-486-79-37,ДАВС     ,2.Работа с проектом приостановлена
496,Устройство для облегчения ходьбы и переноски грузов - пассивный экзоскелет,"Имеется патент на изобретение. Целью изобретения является улучшение эксплуатационных возможностей, снижение усилий, затрачиваемых при ходьбе и переноске тяжестей за счет разгрузки веса человека и переносимых грузов путем выполнения устройством одновременно опорных функций для тела человека как в неподвижном стоячем положении, так и в процессе движения при ходьбе и при переноске грузов",ООО N750839,Смирнов А.Т.,8(467)-603-54-95,П     ,2.Работа с проектом приостановлена
497,Использование VR для обучения персонала,"Разработка интерактивных образовательных программ с помощью средств виртуальной реальности под конкретного заказчика. Отработка производственных процессов, ремонта и обслуживания техники, а так же обучения при помощи средств виртуальной реальности
  
",ООО N468412,Кузнецов Ю.А.,8(289)-412-36-20,Т     ,2.Работа с проектом приостановлена
498,Централизованное управление энергоэффективностью большого количества объектов,"программно-аппаратный комплекс, позволяющий решать как задачи по мониторингу, так и по управлению конечными устройствами, что позволяет реализовывать стратегии безопасности и энергосбережения единообразно на большом количестве объектов",ООО N766949,Николаев Т.Г.,8(757)-198-65-28,ДЭЗ     ,2.Работа с проектом приостановлена
499,Использование дополненной реальности (AR) реальности для интерактивной поддержки операций по обслуживанию и ремонту железнодорожной техники,"Удаленная помощь высококвалифицированного специалиста через очки дополненной информации при выполнении сложных операций
",ООО N163056,Иванов Н.Э.,8(248)-331-96-69,КЦМ     ,2.Работа с проектом приостановлена
500,"Маркетплейс с сервисами автоматизации закупок, управления продажами и финансирования сделок","Обработка входящих заявок, маркетинг, финансирование,
логистика, работа с дебиторской задолженностью",ООО N858618,Волков И.Г.,8(312)-528-51-63,н/о     ,2.Работа с проектом приостановлена
501,Интеллектуальный стабилизатор напряжения ,Запатентованный интеллектуальный стабилизатор напряжения – основным принципом работы которого является привидение уровня питающего напряжения к оптимально низкому* допустимому по ГОСТ значению,ООО N22800,Павлов П.О.,8(853)-184-98-67,НТЭ     ,2.Работа с проектом приостановлена
502,SelfSetting,Удобный конструктор создания среды виртуальной и дополненной реальности,ООО N380832,Михайлов А.В.,8(578)-361-31-18,СИВЦ     ,2.Работа с проектом приостановлена
503,Самостерилизующиеся поверхности на основе пластиков и наночастиц серебра ,Нанесение наночастиц серебра на поверхность упаковки или полимерных покрытий для мебели и инвентаря. Технология позволяет регулировать миграцию серебра из упаковки или с поверхности в продукт или окружающую среду в безопасных но эффективных количествах,ООО N110580,Смирнов Д.С.,8(410)-941-30-29,КДЗ     ,2.Работа с проектом приостановлена
504,Системы очистки воды без хлора и ультрафиолета ,Установка обезжелезивания и дезодорации воды серии АВР-Ф (ТУ 4859-002-18185997-2013) способна обеспечить чистой водой 100-2000 человек,ООО N653819,Козлов Т.Л.,8(235)-174-33-77,ДТВ     ,2.Работа с проектом приостановлена
505,"Технология очистки токсичных сточных вод аэропортов до нормативных требований, материалы и оборудование для ее реализации","Предлагается использовать комбинированные технологии включающие кавитационно реагентную обработку,
сорбционную очистку СВ, фотокаталитическое окисление загрязнений, УФ обеззараживание воды",ООО N911884,Барских Л.К.,8(603)-312-28-64,ДТВ     ,2.Работа с проектом приостановлена
506,Технология тонкой очистки нефтезагрязненных сточных вод,"Фильтр доочищает воду от: взвешенных частиц;
остаточного хлора
органических соединений;
оксидов металлов;
жиров и масел;
нефти и нефтепродуктов",ООО N169642,Нечаев Н.Р.,8(164)-952-97-11,ДТВ     ,2.Работа с проектом приостановлена
507,Сверхритическое водное окисление (СКВО) – альтернатива традиционным методам утилизации промышленных отходов,Очистка комунальных стоков посредством окисления,ООО N445593,Кузнецов В.Д.,8(507)-514-30-99,ДТВ     ,2.Работа с проектом приостановлена
508,Система для автоматизации оперативного планирования логистики,"Разработка и внедрение бизнес
приложений для эффективного управления ресурсами  педприятия в реальном времени",ООО N498442,Кузнецов Х.Р.,8(408)-732-99-40,ДМ     ,2.Работа с проектом приостановлена
509,"Носимые браслеты, интегрируемые с мобильным рабочим местом","Браслет, интегрированный с приложением, который напоминает о принятии лекарств, обеспечивающий контроль показателей здоровья и симптомов. Измеряет пульс, определяет геолокацию и определяет падение ",ООО N478919,Семенов В.С.,8(289)-147-43-42,ДИ     ,2.Работа с проектом приостановлена
510,"Создание центров обработки и анализа информации, получаемой с бортовых устройств диагностики локомотивов","Машинное зрение способное обеспечить распознавание лиц; распознавание жестов; слежение за движением людей;
контроль брака на конвейерной ленте; анализ ситуации на дороге.",ООО N595656,Николаев К.Ш.,8(971)-740-69-37,ТР     ,2.Работа с проектом приостановлена
511,Инновационное решение по позиционированию и контролю ЖД-транспорта,"Контроль и позиционирование ЖД-транспорта (вагонов, локомотивов) с применением геопозиционных датчиков",ООО N120315,Лебедев С.К.,8(662)-873-62-90,ДПМ     ,2.Работа с проектом приостановлена
512,"Контроль состояния объекта без необходимости регламентных осмотров, предиктивный анализ состояния с целью недопущения аварийных ситуаций","Программное решение позволяет создать комплексную интеллектуальную систему на основе видеонаблюдения, повышающую контроль выполнения тех.процесса, безопасность и эффективность производства",ООО N739452,Соколов И.Б.,8(672)-963-39-39,РДЖВ     ,2.Работа с проектом приостановлена
513,Разработка системы солнечных и ветровых источников энергии,Солнечные и ветровые источники электрической энергии. Заявитель готов выйти на пилот в течение 3-х месяцев,ООО N58349,Михайлов О.К.,8(298)-451-52-74,НТЭ     ,2.Работа с проектом приостановлена
514,"Механическая обработка деталей, применяемая для восстановления исходной геометрии конструкции локомотива","Многофункциональная компания, предлагающая множество решений в области механической обработки деталей, контроля качества расплава, контроля физико-механических свойств сплавов",ООО N930148,Барских Ф.Х.,8(183)-860-32-90,ТР     ,2.Работа с проектом приостановлена
515,"Создание офисной экосистемы, превращающей офис в умное пространство со встроенным термодатчиком измерения температуры",Инновационное устройство для контроля и опознавания лиц посредством биометрии устанавливается на любой турникет и превращает его в умную и быструю систему идентификации,ООО N688541,Новиков Х.П.,8(358)-744-41-41,ДЭЗ     ,2.Работа с проектом приостановлена
516,Разработка Wi-Fimesh сети «Алтай»,"Заявитель предлагает постройку новой инфраструктуры интернета, которая позволит исключить провайдеров как посредников доступа к сети.",ООО N703024,Кемаев Н.О.,8(190)-927-56-73,СИВЦ     ,2.Работа с проектом приостановлена
517,Мониторинг скально-обвальных участков и искуственных сооружений ,Система контроля и мониторинга состояния искуственных сооружений и скально-обвальных участков инфраструктуры Куйбышевской железной дороги при помощи 3D моделирования ,ООО N494850,Смирнов Л.Б.,8(217)-286-82-23,РЦДМ     ,2.Работа с проектом приостановлена
518,Мониторинг скально-обвальных участков и искуственных сооружений ,Система контроля и мониторинга состояния искуственных сооружений и скально-обвальных участков инфраструктуры Куйбышевской железной дороги при помощи 3D моделирования ,ООО N281768,Смирнов Г.Н.,8(662)-750-77-71,РЦДМ     ,2.Работа с проектом приостановлена
